849-Lester_Young_w_Oscar_Peterson_Trio-Just_You _Just_Me                                                                         _^PNl63ARx0DM.m4a    c=3 p=0 t=1 to=1036 ss=575
733-Lester_Young-I_Cant_Give_You_Anything_But_Love _^dP-iIgnvM-k.opus                                                               c=3                  p=0 t=1 to=753 ss=552
716-Lester_Young-I_Cover_the_Waterfront _^dP-iIgnvM-k.opus                                                               c=3                  p=0 t=1 to=983 ss=753
308-Quantz_Menuet_in_E_Minor_L_inconu_Variations_1-10 _^e3fTUV616m0.opus.mp3                                                           ss=0                
604-Chet_Baker_Quartet_No_Problem_1980 _^E95STK2tnoM.opus                                                               c=3                  p=3.07 t=1.07 to=590 ss=0
615-Chet_Baker_Trio-Chets_Choice-Philip_Catherine _^eABr97CgTbI.opus                                                               v=6db                c=3 p=0 t=1 to=1341 ss=619
115-Scarlatti_k380_Sonata_Emaj_Tiffany_Poon _^EcmFCpoTKXc.opus                                                               v=0db                cmp=ckb3 ss=0
625-Scarlatti_k380_Sonata_Emaj_Tiffany_Poon _^EcmFCpoTKXc.opus_lowpass_compand.mp3                                           ss=0                
305-06-Quantz_Minuetto_da_capo_in_G_Major _^ECPdSvnCfL8.opus.mp3                                                           ss=0                
915-B52s_Planet_Claire _^eOjAzI5zALo.mp3                                                                ss=0                
303-05-Quantz_Menuetto_da_capo_in_D_Major _^eWm_9ODrxUE.opus.mp3                                                           ss=0                
603-Butch_Thompson_and_the_Hiawatha_Jazz_Band-Mama_Inez _^fcDKigSHHHY.opus                                                               c=3                  p=0 t=1 to=545 ss=220
109-Yaorenmao_Team_155 _^fflyPxv1ATw.opus                                                               v=-6.6db             c=3 p=-3.997 t=1.234 ss=0
510-Jean-Marie_Leclair_Complete_Flute_Sonatas _^fJwnsyEtkK0.mp3                                                                ss=0                
706-Jean-Marie_Leclair_Complete_Flute_Sonatas _^fJwnsyEtkK0.mp3                                                                ss=0                
808-Jean-Marie_Leclair_Complete_Flute_Sonatas _^fJwnsyEtkK0.mp3                                                                ss=0                
804-Frans_Brggen_plays_Bach_and_Handel _^fs-frS4cqvA.opus                                                               v=1db                c=4 p=2.02 t=1.073 ss=0
110-Beethoven_Op81a_Piano-Sonata-26_E-flat-maj_Les-Adieux _^G7sDg8_26N8.opus                                                               v=0db                cmp=ckb3 F=y c=1 p=0 t=1.12 to=11230 ss=10329
111-Beethoven_Op49-1_Piano-Sonata-19_G-min _^G7sDg8_26N8.opus                                                               v=0db                cmp=ckb3 F=y c=1 p=0 t=1.12 to=17111 ss=16654
112-Beethoven_Op2-1_Piano-Sonata-1_F-min _^G7sDg8_26N8.opus                                                               v=0db                cmp=ckb3 F=y c=1 p=0 t=1.12 to=18141 ss=17111
116-Beethoven_Op2-2_Piano-Sonata-2_A-maj_1-Allegro-vivace _^G7sDg8_26N8.opus                                                               v=0db                cmp=ckb3 F=y c=1 p=0 t=1.12 to=27644 ss=27218
117-Beethoven_Op2-2_Piano-Sonata-2_A-maj_2-Largo-appassionato _^G7sDg8_26N8.opus                                                               v=0db                cmp=ckb3 F=y c=1 p=0 t=1.12 to=28038 ss=27644
118-Beethoven_Op2-2_Piano-Sonata-2_A-maj_3-Scherzo-Allegretto _^G7sDg8_26N8.opus                                                               v=0db                cmp=ckb3 F=y c=1 p=0 t=1.12 to=28247 ss=28038
119-Beethoven_Op2-2_Piano-Sonata-2_A-maj_4-Rondo-Grazioso _^G7sDg8_26N8.opus                                                               v=0db                cmp=ckb3 F=y c=1 p=0 t=1.12 to=28651 ss=28247
